#ZVView-data-copy:  30-May-2023 21:44:51
#=======================================
#
#name:   40-ZR-90(N,2N)40-ZR-89,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  181
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          11.3          0.2       0.0064        0.001  # 2001,B.Kiraly+           ## 31519008  #dY:15.6%  
         11.44         0.21       0.0018       0.0003  # 2001,M.Ibn Majah+        ## 22664003  #dY:16.7%  
         12.13         0.15        0.028       0.0014  # 1961,R.J.Prestwood+      ## 11645014  #dY:5.0%   
        12.335        0.015       0.0263       0.0055  # 1982,A.Pavlik+           ## 21807002  #dY:20.9%  
         12.37          0.2        0.154        0.012  # 2001,M.Ibn Majah+        ## 22664003  #dY:7.8%   
         12.37         0.03       0.0415       0.0017  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
         12.49        0.035        0.065       0.0027  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.2%   
         12.53         0.02        0.075       0.0077  # 1982,A.Pavlik+           ## 21807002  #dY:10.3%  
         12.79        0.045        0.153       0.0063  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
         12.86        0.045       0.1834       0.0075  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
        13.015        0.025       0.2531       0.0125  # 1982,A.Pavlik+           ## 21807002  #dY:4.9%   
          13.2          0.2          0.4         0.03  # 2010,V.Semkova+          ## 22822013  #dY:7.5%   
         13.35        0.055       0.3794       0.0156  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
         13.37            0         0.38        0.018  # 1988,Y.Ikeda+            ## 22089053  #dY:4.7%   
          13.4          0.2        0.398        0.012  # 1961,R.J.Prestwood+      ## 11645014  #dY:3.0%   
        13.435        0.015       0.4067        0.008  # 1982,A.Pavlik+           ## 21807003  #dY:2.0%   
        13.475        0.015       0.4162       0.0071  # 1982,A.Pavlik+           ## 21807003  #dY:1.7%   
          13.5            0        0.448     0.023744  # 1986,Y.Ikeda+            ## 21945003  #dY:5.3%   
          13.5            0        0.451            0  # 1982,J.Csikai            ## 30640007             
        13.515         0.01       0.4278       0.0059  # 1982,A.Pavlik+           ## 21807003  #dY:1.4%   
         13.52         0.15        0.457        0.014  # 1961,R.J.Prestwood+      ## 11645014  #dY:3.1%   
         13.56            0        0.452    0.0094468  # 2016,A.A.Filatenkov      ## 41614060  #dY:2.1%   
         13.57         0.06       0.5965       0.0044  # 1969,A.Abboud+           ## 30028004  #dY:0.7%   
         13.58            0        0.464        0.022  # 1988,Y.Ikeda+            ## 22089053  #dY:4.7%   
         13.58        0.075       0.4527       0.0186  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
        13.615         0.03        0.472        0.019  # 1982,A.Pavlik+           ## 21807002  #dY:4.0%   
         13.62         0.01       0.4681       0.0057  # 1982,A.Pavlik+           ## 21807003  #dY:1.2%   
         13.63            0        0.497     0.026341  # 1986,Y.Ikeda+            ## 21945003  #dY:5.3%   
         13.64            0         0.46        0.043  # 1991,N.I.Molla+          ## 30985005  #dY:9.3%   
         13.64         0.02        0.483       0.0106  # 1996,Qiu Jiuzi+          ## 32754002  #dY:2.2%   
         13.69          0.1        0.527        0.016  # 1961,R.J.Prestwood+      ## 11645014  #dY:3.0%   
         13.74            0        0.505     0.009393  # 2016,A.A.Filatenkov      ## 41614060  #dY:1.9%   
        13.745         0.01       0.5111       0.0062  # 1982,A.Pavlik+           ## 21807003  #dY:1.2%   
         13.76            0        0.511        0.024  # 1988,Y.Ikeda+            ## 22089053  #dY:4.7%   
         13.77            0        0.552     0.029256  # 1986,Y.Ikeda+            ## 21945003  #dY:5.3%   
         13.77            0        0.546            0  # 1982,J.Csikai            ## 30640007             
          13.8         0.02       0.5397       0.0119  # 1996,Qiu Jiuzi+          ## 32754002  #dY:2.2%   
         13.81            0        0.559        0.023  # 1987,T.Iguchi+           ## 23008003  #dY:4.1%   
         13.81         0.03       0.5422       0.0223  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
        13.815         0.01       0.5362       0.0063  # 1982,A.Pavlik+           ## 21807003  #dY:1.2%   
         13.88          0.1        0.585        0.018  # 1961,R.J.Prestwood+      ## 11645014  #dY:3.1%   
         13.88            0         0.56        0.051  # 1991,N.I.Molla+          ## 30985005  #dY:9.1%   
