#ZVView-data-copy:  30-May-2023 22:23:22
#=======================================
#
#name:   47-AG-109(N,2N)47-AG-108-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  66
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          8.19        0.124       0.0857       0.0021  # 2016,N.Fotiades+         ## 14461013  #dY:2.5%   
           8.7       0.1355       0.1028       0.0021  # 2016,N.Fotiades+         ## 14461013  #dY:2.0%   
          9.25       0.1485       0.1493       0.0024  # 2016,N.Fotiades+         ## 14461013  #dY:1.6%   
         9.858       0.1635       0.2272       0.0027  # 2016,N.Fotiades+         ## 14461013  #dY:1.2%   
        10.528        0.181       0.3694       0.0032  # 2016,N.Fotiades+         ## 14461013  #dY:0.9%   
        11.269       0.2005       0.4874       0.0035  # 2016,N.Fotiades+         ## 14461013  #dY:0.7%   
        12.092        0.223       0.5719       0.0037  # 2016,N.Fotiades+         ## 14461013  #dY:0.6%   
         13.01        0.249       0.5686       0.0038  # 2016,N.Fotiades+         ## 14461013  #dY:0.7%   
         13.08         0.15        1.177        0.231  # 1975,W.Augustyniak+      ## 30316005  #dY:19.6%  
         13.46        0.125        0.923        0.086  # 1975,W.Augustyniak+      ## 30316005  #dY:9.3%   
          13.7         0.02        0.675        0.095  # 1968,P.Cuzzocrea+        ## 20890008  #dY:14.1%  
        13.745         0.02        0.816        0.114  # 1968,P.Cuzzocrea+        ## 20890008  #dY:14.0%  
         13.77         0.02         0.76        0.106  # 1968,P.Cuzzocrea+        ## 20890008  #dY:13.9%  
        13.795         0.02         0.77        0.089  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.6%  
         13.82         0.02        0.783         0.09  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
        13.845         0.02        0.802        0.092  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
         13.87         0.02        0.735        0.085  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.6%  
         13.88        0.105         0.91          0.1  # 1975,W.Augustyniak+      ## 30316005  #dY:11.0%  
        13.895         0.02        0.777        0.089  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
         13.92         0.02        0.722        0.083  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
         13.95         0.02        0.812        0.094  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.6%  
        13.975         0.02        0.817        0.094  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
            14            0         0.84         0.15  # 1961,H.Vonach            ## 20089004  #dY:17.9%  
            14         0.02         0.75        0.086  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
        14.025         0.02        0.745        0.086  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
        14.037        0.279        0.552       0.0037  # 2016,N.Fotiades+         ## 14461013  #dY:0.7%   
        14.055         0.02        0.815        0.094  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
        14.075         0.02        0.749        0.086  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
          14.1            0            1          0.1  # 1952,S.G.Forbes          ## 11474010  #dY:10.0%  
          14.1          0.1        0.604      0.06644  # 1957,S.Yasumi            ## 20280010  #dY:11.0%  
          14.1         0.05         1.08       0.2052  # 1962,Langmann            ## 20903006  #dY:19.0%  
         14.11         0.02        0.768        0.088  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
        14.135         0.02        0.708        0.081  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.4%  
         14.16         0.02        0.729        0.084  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
         14.21         0.02        0.689        0.079  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
         14.26         0.02        0.625        0.072  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
          14.3         0.02        0.672        0.077  # 1968,P.Cuzzocrea+        ## 20890008  #dY:11.5%  
          14.3            0        0.848        0.031  # 1988,T.B.Ryves+          ## 22100006  #dY:3.7%   
         14.36       0.0225        0.665        0.086  # 1968,P.Cuzzocrea+        ## 20890008  #dY:12.9%  
          14.4        0.125        1.186        0.142  # 1975,W.Augustyniak+      ## 30316005  #dY:12.0%  
        14.405        0.025        0.767          0.1  # 1968,P.Cuzzocrea+        ## 20890008  #dY:13.0%  
        14.445       0.0275        0.741        0.096  # 1968,P.Cuzzocrea+        ## 20890008  #dY:13.0%  
