#ZVView-data-copy:  30-May-2023 20:46:33
#=======================================
#
#name:   64-GD-157(N,G)64-GD-158,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  71
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0       264000         4500  # 1958,N.J.Pattenden       ## 21325021  #dY:1.7%   
         0.001            0         10.3         1.03  # 1970,M.P.Fricke+         ## 10049024  #dY:10.0%  
      0.001205     0.000105         9.63         0.54  # 1989,Y.Nakajima+         ## 21925003  #dY:5.6%   
       0.00145      0.00014        10.86         0.59  # 1989,Y.Nakajima+         ## 21925003  #dY:5.4%   
        0.0015            0         9.53            0  # 1970,M.P.Fricke+         ## 10049024             
       0.00178      0.00019          8.6         0.47  # 1989,Y.Nakajima+         ## 21925003  #dY:5.5%   
         0.002            0         6.95            0  # 1970,M.P.Fricke+         ## 10049024             
      0.002235     0.000265         6.88         0.41  # 1989,Y.Nakajima+         ## 21925003  #dY:6.0%   
         0.003            0         5.24            0  # 1970,M.P.Fricke+         ## 10049024             
      0.003775     0.000295         4.98          0.3  # 1989,Y.Nakajima+         ## 21925003  #dY:6.0%   
         0.004            0         4.68            0  # 1970,M.P.Fricke+         ## 10049024             
      0.004445     0.000375         4.29         0.25  # 1989,Y.Nakajima+         ## 21925003  #dY:5.8%   
       0.00528            0         4.51         0.57  # 1974,V.S.Shorin+         ## 40222007  #dY:12.6%  
      0.005305     0.000485         3.95         0.22  # 1989,Y.Nakajima+         ## 21925003  #dY:5.6%   
         0.006            0         3.62            0  # 1970,M.P.Fricke+         ## 10049024             
       0.00604            0         4.37         0.51  # 1974,V.S.Shorin+         ## 40222007  #dY:11.7%  
      0.006445     0.000655         3.53          0.2  # 1989,Y.Nakajima+         ## 21925003  #dY:5.7%   
       0.00697            0         3.88         0.42  # 1974,V.S.Shorin+         ## 40222007  #dY:10.8%  
